,Row,Col,Sector,Positivity,Block,Grouping
0,1,1,1,0.0356929,A,TFL
1,1,2,1,0.0323093,A,TFL
2,1,3,1,0.00637001,A,TFL
3,1,4,1,0.00454417,A,TFL
4,1,5,1,0.00772798,A,TFL
5,1,6,1,0.0131579,A,TFL
6,1,7,1,0.00013246799999999998,A,TFL
7,1,8,1,0.00287356,A,TFL
8,1,9,1,0.033232599999999994,A,TFL
9,1,10,1,0.0221328,A,TFL
10,1,11,1,0.00522193,A,TFL
11,1,12,1,0.00318578,A,TFL
12,2,1,1,0.0440031,A,TFL
13,2,2,1,0.043865499999999995,A,TFL
14,2,3,1,0.0083159,A,TFL
15,2,4,1,0.00687663,A,TFL
16,2,5,1,0.052798000000000005,A,TFL
17,2,6,1,0.0345575,A,TFL
18,2,7,1,0.0112274,A,TFL
19,2,8,1,0.0129554,A,TFL
20,2,9,1,0.0296106,A,TFL
21,2,10,1,0.0247678,A,TFL
22,2,11,1,0.050676099999999995,A,TFL
23,2,12,1,0.0457466,A,TFL
24,3,1,1,0.08425099999999999,A,TFL
25,3,2,1,0.0969314,A,TFL
26,3,3,1,0.048213,A,TFL
27,3,4,1,0.0410542,A,TFL
28,3,5,1,0.0553597,A,TFL
29,3,6,1,0.0318122,A,TFL
30,3,7,1,0.127583,A,TFL
31,3,8,1,0.16583499999999998,A,TFL
32,3,9,1,0.0442328,A,TFL
33,3,10,1,0.0432512,A,TFL
34,3,11,1,0.00388823,A,TFL
35,3,12,1,0.019921599999999998,A,TFL
36,4,1,1,0.10628499999999999,A,TFL
37,4,2,1,0.0826848,A,TFL
38,4,3,1,0.0501335,A,TFL
39,4,4,1,0.0452165,A,TFL
40,4,5,1,0.047351199999999996,A,TFL
41,4,6,1,0.0630752,A,TFL
42,4,7,1,0.0498614,A,TFL
43,4,8,1,0.0535821,A,TFL
44,4,9,1,0.0156343,A,TFL
45,4,10,1,0.031541200000000005,A,TFL
46,4,11,1,0.0616727,A,TFL
47,4,12,1,0.0554768,A,TFL
48,5,1,1,0.0403201,A,TFL
49,5,2,1,0.0105586,A,TFL
50,5,3,1,0.00970764,A,TFL
51,5,4,1,0.0101294,A,TFL
52,5,5,1,0.0250546,A,TFL
53,5,6,1,0.0240562,A,TFL
54,5,7,1,0.012470299999999998,A,TFL
55,5,8,1,0.011031200000000001,A,TFL
56,5,9,1,0.0591612,A,TFL
57,5,10,1,0.18846,A,TFL
58,5,11,1,0.026114699999999998,A,TFL
59,5,12,1,0.0183707,A,TFL
60,6,1,1,0.0213858,A,TFL
61,6,2,1,0.0250593,A,TFL
62,6,3,1,0.0343108,A,TFL
63,6,4,1,0.044571,A,TFL
64,6,5,1,0.0326064,A,TFL
65,6,6,1,0.0371214,A,TFL
66,6,7,1,0.056536,A,TFL
