,Grouping,Block,Sector,Row,Col,Positivity
0,TFL,D,1,3,6,0.005962405725750921
1,XTRFL,A,1,6,7,0.11010433634960934
2,TFL,D,1,5,1,0.035593502958816345
3,TFL,E,1,2,1,0.03640664860063966
4,XTRFL,C,1,9,3,0.02116235528148593
5,TFL,B,1,6,10,0.009783651643479387
6,TFL,H,1,3,4,0.01430857886174978
7,XTRFL,A,1,5,4,0.0298687531323641
8,TFL,A,1,3,6,0.03875305967778882
9,TFL,C,1,3,11,0.015159554193305308
10,TFL,E,1,4,6,0.02680589418698355
11,TFL,G,1,3,9,0.01804780558666141
12,XTRFL,A,1,1,6,0.0
13,TFL,H,1,3,9,0.01315286380663602
14,TFL,A,1,7,1,0.0694473631625047
15,TFL,D,1,1,8,0.0
16,TFL,C,1,4,4,0.002743378975601376
17,TFL,H,1,3,3,0.02214601213677078
18,TFL,E,1,1,12,0.0
19,XTRFL,C,1,5,7,0.020628285661731006
20,TFL,A,1,2,3,0.0016178262504515269
21,TFL,E,1,7,9,0.015672811623515772
22,TFL,D,1,1,4,0.0018709337152765732
23,TFL,E,1,9,7,0.0054616204185150554
24,TFL,A,1,4,4,0.02709783789166976
25,XTRFL,B,1,7,12,0.05910394198356727
26,TFL,C,1,8,8,0.017152356152352
27,TFL,C,1,9,8,0.013895821241161033
28,TFL,E,1,5,8,0.006940004238420905
29,XTRFL,C,1,4,8,0.044697154496566756
30,TFL,B,1,3,3,0.004769515878017586
31,TFL,C,1,9,9,0.008708890873013426
32,TFL,B,1,7,3,0.03304766176989407
33,XTRFL,C,1,9,1,0.02806734175994974
34,TFL,B,1,4,9,0.04938167850764856
35,TFL,A,1,4,11,0.05896171148536796
36,XTRFL,B,1,6,6,0.03151462104009111
37,TFL,D,1,8,12,0.0075246377148757634
38,TFL,A,1,6,10,0.020658239173014258
39,TFL,D,1,7,6,0.004571775152965614
40,TFL,F,1,7,9,0.007768004810095588
41,TFL,G,1,1,6,0.0
42,XTRFL,B,1,2,7,0.03737296693309337
43,TFL,G,1,1,3,0.0007698557526249362
44,TFL,C,1,2,9,0.0359216514510583
45,XTRFL,C,1,2,1,0.05292149510243087
46,TFL,C,1,4,2,0.01878584604999013
47,TFL,D,1,8,5,0.013937658389589255
48,TFL,G,1,7,1,0.0
49,TFL,C,1,9,5,0.009839259162792305
50,TFL,G,1,1,2,0.018083087891168283
51,TFL,F,1,3,3,0.0889737223353945
52,TFL,C,1,5,3,0.007718799599198544
53,XTRFL,A,1,8,9,0.08271193753246386
54,XTRFL,B,1,4,3,0.021429655527691497
55,XTRFL,C,1,1,1,0.014297578258436854
56,TFL,H,1,1,2,0.012092269794443462
57,XTRFL,C,1,4,12,0.0393684930882936
58,XTRFL,A,1,3,10,0.017613226244825374
59,TFL,A,1,4,5,0.030217970972196338
60,XTRFL,B,1,1,4,0.00124321443979704
61,TFL,B,1,1,10,0.0
62,TFL,A,1,7,11,0.02970472393424553
63,XTRFL,B,1,1,7,1.3766801930483188e-05
64,XTRFL,B,1,8,8,0.004775218851940236
65,XTRFL,A,1,9,12,0.06015663483371661
66,TFL,E,1,2,8,0.018976832065299504
67,XTRFL,B,1,9,7,0.022473757671326235
68,TFL,F,1,8,9,0.0192942567028906
69,TFL,A,1,1,12,1.163722200767198e-05
70,TFL,E,1,8,4,0.05447793381757829
71,TFL,A,1,3,3,0.0038337474106523543
72,TFL,G,1,1,12,0.0
73,TFL,B,1,4,10,0.027985910063391854
74,XTRFL,B,1,4,10,0.011282814782956476
75,TFL,B,1,6,12,0.0011631225011724466
76,TFL,C,1,7,11,0.013485844923706813
77,XTRFL,A,1,3,6,0.017186870838985523
78,XTRFL,C,1,6,12,0.02505075980816312
79,TFL,H,1,2,7,0.006211928387384339
80,TFL,D,1,4,12,0.02709746558031236
81,TFL,E,1,7,12,0.04938039295586275
82,TFL,E,1,2,11,0.054927124812568215
83,TFL,D,1,5,5,0.012404831712858255
84,TFL,G,1,4,6,0.002262063094768796
85,TFL,C,1,6,1,0.04389246123817416
86,XTRFL,A,1,1,9,0.0
87,XTRFL,C,1,1,7,1.0947094322203158e-05
88,TFL,F,1,1,5,0.0
89,TFL,E,1,8,5,0.0005721485239032072
90,XTRFL,B,1,6,11,0.05004540042070845
91,XTRFL,B,1,9,4,0.028233326859111518
92,TFL,A,1,3,10,0.043514084935540195
93,XTRFL,A,1,5,2,0.01737315339757054
94,TFL,G,1,1,8,0.0
95,XTRFL,C,1,3,10,0.06960133553446586
96,XTRFL,B,1,3,6,0.023427847195563293
97,XTRFL,C,1,3,12,0.02241687166975555
98,TFL,H,1,2,3,0.016465996656020297
99,TFL,F,1,1,4,0.00755537068860185
100,TFL,D,1,2,10,0.003099558762274481
101,TFL,E,1,5,12,0.03676137620813509
102,XTRFL,C,1,7,10,0.038578472577710854
103,XTRFL,B,1,4,6,0.01229458966084713
104,TFL,E,1,5,5,0.03154433795454168
105,XTRFL,C,1,1,6,3.437783707344365e-05
106,XTRFL,B,1,4,8,0.03870341494550998
107,TFL,E,1,4,11,0.05032068874947046
108,XTRFL,A,1,5,3,0.03373713924710428
109,TFL,B,1,6,5,0.04805488827032384
110,TFL,E,1,1,9,0.0
111,TFL,D,1,7,4,0.061129000907399776
112,TFL,G,1,6,10,0.00389474469465715
113,TFL,A,1,5,5,0.017849380793523658
114,TFL,F,1,5,3,0.005516802347736191
115,TFL,H,1,1,9,0.0
116,TFL,E,1,4,9,0.025160021745121636
117,TFL,C,1,2,5,0.05013533355422496
118,TFL,D,1,5,3,0.04585496430961685
119,XTRFL,C,1,3,2,0.06468846351982956
120,TFL,B,1,5,7,0.030691330161085943
121,XTRFL,A,1,7,10,0.03446888595964845
122,XTRFL,C,1,8,3,0.023292440612258592
123,TFL,B,1,2,6,0.035112078832962246
124,TFL,C,1,6,11,0.010562035325649538
125,XTRFL,B,1,3,4,0.004050440492511569
126,TFL,F,1,2,6,0.04269217641235634
127,XTRFL,A,1,1,1,0.002795535990084373
128,TFL,B,1,4,8,0.0009559113928012655
129,XTRFL,C,1,6,1,0.020291552037409243
130,TFL,A,1,5,8,0.002640544917496876
131,TFL,A,1,7,2,0.06432565620927097
132,XTRFL,A,1,7,5,0.007726211336538483
133,TFL,F,1,2,5,0.04236673067972693
134,TFL,E,1,8,3,0.041412341437625406
135,TFL,E,1,3,5,0.04982765726769187
136,TFL,H,1,1,10,0.0
137,TFL,C,1,1,10,4.67967904852911e-06
138,XTRFL,B,1,3,11,0.01573602299728171
139,TFL,C,1,4,11,0.03110942876695308
140,TFL,C,1,8,9,0.0341364877566321
141,TFL,E,1,3,6,0.048284674510866765
142,TFL,H,1,2,5,0.06056489304426763
143,XTRFL,B,1,1,5,3.2517603015191175e-06
144,TFL,E,1,1,2,0.004000118185704636
145,TFL,G,1,2,12,0.04107949818191461
146,TFL,F,1,2,12,0.021181625791765402
147,TFL,F,1,2,4,0.015698756585031785
148,TFL,E,1,4,1,0.030042347011839766
149,TFL,E,1,6,12,0.0568815352228964
150,TFL,C,1,3,9,0.0023865169240620964
151,TFL,F,1,9,4,0.023052864326301287
152,TFL,B,1,5,9,0.01401400519439572
153,XTRFL,C,1,5,10,0.014864848092643693
154,XTRFL,C,1,5,2,0.033994198635017125
155,TFL,F,1,8,3,0.011821497167527228
156,TFL,B,1,3,8,0.0020500501116267203
157,TFL,D,1,2,9,0.003833817126880695
158,TFL,B,1,1,9,0.0
159,TFL,F,1,9,8,0.03313762451432027
160,TFL,E,1,1,6,0.015750793181268534
161,TFL,B,1,4,4,0.019909878813303222
